id,num_units,dropout,optimizer_lr,batch_size,best_acc,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17,acc_18,acc_19,acc_20,acc_21,acc_22,acc_23,acc_24,acc_25,acc_26,acc_27,acc_28,acc_29,acc_30,acc_31,acc_32,acc_33,acc_34,acc_35,acc_36,acc_37,acc_38,acc_39,acc_40,acc_41,acc_42,acc_43,acc_44,acc_45,acc_46,acc_47,acc_48,acc_49,acc_50,acc_51,acc_52,acc_53,acc_54,acc_55,acc_56,acc_57,acc_58,acc_59,acc_60,acc_61,acc_62,acc_63,acc_64,acc_65,acc_66,acc_67,acc_68,acc_69,acc_70,acc_71,acc_72,acc_73,acc_74,acc_75,acc_76,acc_77,acc_78,acc_79,acc_80,acc_81,acc_82,acc_83,acc_84,acc_85,acc_86,acc_87,acc_88,acc_89,acc_90,acc_91,acc_92,acc_93,acc_94,acc_95,acc_96,acc_97,acc_98,acc_99,acc_100,acc_101,acc_102,acc_103,acc_104,acc_105,acc_106,acc_107,acc_108,acc_109,acc_110,acc_111,acc_112,acc_113,acc_114,acc_115,acc_116,acc_117,acc_118,acc_119,acc_120,acc_121,acc_122,acc_123,acc_124,acc_125,acc_126,acc_127,acc_128,acc_129,acc_130,acc_131,acc_132,acc_133,acc_134,acc_135,acc_136,acc_137,acc_138,acc_139,acc_140,acc_141,acc_142,acc_143,acc_144,acc_145,acc_146,acc_147,acc_148,acc_149,acc_150,acc_151,acc_152,acc_153,acc_154,acc_155,acc_156,acc_157,acc_158,acc_159,acc_160,acc_161,acc_162,acc_163,acc_164,acc_165,acc_166,acc_167,acc_168,acc_169,acc_170,acc_171,acc_172,acc_173,acc_174,acc_175,acc_176,acc_177,acc_178,acc_179,acc_180,acc_181,acc_182,acc_183,acc_184,acc_185,acc_186,acc_187,acc_188,acc_189,acc_190,acc_191,acc_192,acc_193,acc_194,acc_195,acc_196,acc_197,acc_198,acc_199,acc_200
0,[64],0.2,0.001,32,0.31132075,0.1745283,0.18396227,0.22327045,0.22955975,0.1855346,0.23584905,0.23113208,0.24056605,0.23584905,0.24056605,0.22955975,0.23427673,0.2264151,0.22327045,0.24528302,0.254717,0.2327044,0.24056605,0.254717,0.2437107,0.24842767,0.254717,0.2735849,0.2625786,0.25943395,0.26415095,0.2861635,0.2625786,0.25943395,0.2327044,0.23742138,0.25157234,0.27044025,0.254717,0.2735849,0.2688679,0.24213837,0.2562893,0.254717,0.23742138,0.25786164,0.2688679,0.2720126,0.2610063,0.27044025,0.25943395,0.2783019,0.28773585,0.2562893,0.2783019,0.26415095,0.2735849,0.27672955,0.2783019,0.2783019,0.2625786,0.26572326,0.27672955,0.2610063,0.27672955,0.24213837,0.25943395,0.2625786,0.2720126,0.26415095,0.29245284,0.2720126,0.28301886,0.28144655,0.2783019,0.25786164,0.2672956,0.26415095,0.26415095,0.27044025,0.2672956,0.2672956,0.26415095,0.27515724,0.26572326,0.2845912,0.27515724,0.2955975,0.26415095,0.2625786,0.2783019,0.26572326,0.2720126,0.2798742,0.2688679,0.2798742,0.2688679,0.2610063,0.27515724,0.29402515,0.2861635,0.25786164,0.2735849,0.26415095,0.254717,0.2798742,0.26415095,0.28301886,0.28144655,0.2845912,0.26415095,0.2861635,0.27044025,0.2688679,0.2893082,0.27044025,0.2893082,0.2720126,0.26572326,0.2735849,0.2845912,0.27044025,0.2783019,0.2720126,0.2688679,0.2610063,0.26415095,0.25314465,0.26572326,0.28301886,0.2893082,0.27515724,0.29245284,0.2861635,0.29874215,0.27672955,0.29245284,0.28773585,0.2845912,0.27044025,0.2783019,0.2798742,0.2798742,0.2845912,0.2688679,0.27044025,0.2672956,0.25786164,0.27044025,0.2783019,0.2861635,0.2735849,0.28144655,0.28301886,0.2783019,0.2783019,0.2625786,0.28144655,0.29402515,0.2798742,0.28773585,0.26572326,0.27672955,0.27044025,0.2893082,0.28301886,0.2720126,0.2845912,0.27515724,0.27515724,0.28301886,0.30503145,0.2783019,0.29402515,0.2562893,0.29245284,0.2672956,0.28144655,0.27044025,0.28301886,0.2971698,0.2783019,0.2845912,0.29245284,0.2893082,0.2688679,0.2798742,0.27672955,0.27515724,0.29245284,0.2672956,0.2798742,0.28144655,0.2798742,0.31132075,0.2955975,0.28301886,0.2798742,0.2955975,0.2893082,0.29402515,0.3034591,0.28301886,0.2908805,0.3034591
1,[64],0.2,0.001,64,0.3081761,0.17295597,0.2154088,0.20754717,0.22169812,0.2389937,0.2154088,0.19968553,0.22484277,0.21698113,0.22484277,0.21855345,0.22484277,0.2327044,0.2154088,0.2264151,0.2389937,0.23742138,0.24528302,0.23427673,0.22012578,0.22327045,0.24528302,0.24842767,0.2327044,0.24213837,0.2562893,0.24056605,0.2437107,0.25157234,0.25314465,0.26415095,0.2610063,0.2783019,0.2625786,0.24842767,0.24842767,0.28301886,0.26572326,0.2908805,0.26415095,0.25157234,0.2610063,0.2688679,0.27672955,0.27515724,0.25,0.2845912,0.25157234,0.2437107,0.2893082,0.2688679,0.25314465,0.25157234,0.26572326,0.25943395,0.25943395,0.26415095,0.2955975,0.2783019,0.2625786,0.2562893,0.2610063,0.2783019,0.2845912,0.27672955,0.2783019,0.28144655,0.28144655,0.2735849,0.27044025,0.29245284,0.2783019,0.2783019,0.2798742,0.28773585,0.2798742,0.2672956,0.2720126,0.29874215,0.2861635,0.25157234,0.2955975,0.30031446,0.2735849,0.2688679,0.26572326,0.2672956,0.2720126,0.2798742,0.28301886,0.2798742,0.2783019,0.2720126,0.27672955,0.2783019,0.27672955,0.28144655,0.2720126,0.26572326,0.27672955,0.2893082,0.28144655,0.2955975,0.2798742,0.2783019,0.2798742,0.2735849,0.2861635,0.2720126,0.2610063,0.27515724,0.2798742,0.2908805,0.2798742,0.28301886,0.28144655,0.28301886,0.2893082,0.27044025,0.28144655,0.2783019,0.2845912,0.2845912,0.2688679,0.2893082,0.30503145,0.29402515,0.2688679,0.2893082,0.29874215,0.3018868,0.2861635,0.2861635,0.3081761,0.2735849,0.2720126,0.29245284,0.28773585,0.2672956,0.3018868,0.2688679,0.28301886,0.2798742,0.2783019,0.28144655,0.2908805,0.2908805,0.27044025,0.28301886,0.28301886,0.2893082,0.2893082,0.2908805,0.2971698,0.2688679,0.28144655,0.2688679,0.2845912,0.2955975,0.2845912,0.2783019,0.29245284,0.28301886,0.2861635,0.27515724,0.27672955,0.29874215,0.3018868,0.28301886,0.2908805,0.2893082,0.2783019,0.29402515,0.29245284,0.28301886,0.27515724,0.28144655,0.27672955,0.2798742,0.28144655,0.2893082,0.2845912,0.26572326,0.2625786,0.2720126,0.29402515,0.2955975,0.29245284,0.28301886,0.2672956,0.2798742,0.2908805,0.2908805,0.2908805,0.2955975,0.2971698,0.2845912,0.28773585,0.29245284,0.2845912
2,[64],0.2,0.001,128,0.30031446,0.14622642,0.1572327,0.15880503,0.18710692,0.19339623,0.19968553,0.21855345,0.2154088,0.21226415,0.2091195,0.2389937,0.21855345,0.22955975,0.22955975,0.22169812,0.21855345,0.24213837,0.2264151,0.21698113,0.23427673,0.23584905,0.24685535,0.2437107,0.23742138,0.24685535,0.24056605,0.24528302,0.23427673,0.25,0.2437107,0.23742138,0.2720126,0.23742138,0.25943395,0.25943395,0.2389937,0.2562893,0.2610063,0.2672956,0.24213837,0.2735849,0.2720126,0.2672956,0.25786164,0.2672956,0.27515724,0.2783019,0.26572326,0.26572326,0.26572326,0.27044025,0.26415095,0.28144655,0.27672955,0.254717,0.26572326,0.2720126,0.2720126,0.2610063,0.27044025,0.2783019,0.2798742,0.2625786,0.2845912,0.28301886,0.28144655,0.2688679,0.27044025,0.2672956,0.27044025,0.2562893,0.2861635,0.2798742,0.27672955,0.27515724,0.2720126,0.28773585,0.2672956,0.25943395,0.2783019,0.30031446,0.27515724,0.27515724,0.2861635,0.28301886,0.26572326,0.28301886,0.2735849,0.27515724,0.26572326,0.27672955,0.2610063,0.27044025,0.26572326,0.2845912,0.27672955,0.2610063,0.2735849,0.27515724,0.27515724,0.2562893,0.26415095,0.28144655,0.27044025,0.2861635,0.2798742,0.26572326,0.2955975,0.2720126,0.2672956,0.27044025,0.2783019,0.27044025,0.26415095,0.27515724,0.27672955,0.2735849,0.28301886,0.2688679,0.2720126,0.2720126,0.28144655,0.28301886,0.27044025,0.2845912,0.27515724,0.2735849,0.2735849,0.2672956,0.2845912,0.2861635,0.28144655,0.28301886,0.27515724,0.2735849,0.2610063,0.29245284,0.27515724,0.2735849,0.27044025,0.2798742,0.2893082,0.2861635,0.28773585,0.28301886,0.2735849,0.2955975,0.2688679,0.27672955,0.28773585,0.2735849,0.26572326,0.2971698,0.28301886,0.2672956,0.2735849,0.27044025,0.2861635,0.2735849,0.2783019,0.2971698,0.2861635,0.2955975,0.28773585,0.27672955,0.28301886,0.27044025,0.2845912,0.28144655,0.30031446,0.2688679,0.27672955,0.28773585,0.29402515,0.28144655,0.2845912,0.2893082,0.2908805,0.29245284,0.2735849,0.2955975,0.2735849,0.28301886,0.27044025,0.2861635,0.30031446,0.27672955,0.25943395,0.2955975,0.2908805,0.28773585,0.30031446,0.2908805,0.28773585,0.2861635,0.28301886,0.2735849,0.2861635,0.2845912,0.27672955
3,[64],0.5,0.001,32,0.29874215,0.20754717,0.17610063,0.22484277,0.20754717,0.19968553,0.22484277,0.20754717,0.23113208,0.22327045,0.2327044,0.22798742,0.23584905,0.2610063,0.2562893,0.27044025,0.254717,0.26415095,0.25786164,0.27044025,0.2562893,0.25943395,0.24842767,0.2625786,0.25786164,0.2688679,0.2688679,0.27672955,0.27044025,0.2720126,0.2625786,0.25157234,0.2562893,0.2845912,0.24842767,0.2735849,0.2625786,0.2720126,0.27044025,0.28144655,0.2688679,0.2893082,0.27044025,0.2720126,0.2720126,0.254717,0.25314465,0.2783019,0.2625786,0.2625786,0.26572326,0.2735849,0.28144655,0.28144655,0.26572326,0.27515724,0.27515724,0.2893082,0.28301886,0.27044025,0.25157234,0.2720126,0.27044025,0.2783019,0.2845912,0.2625786,0.2720126,0.26572326,0.27515724,0.2845912,0.2845912,0.27672955,0.25786164,0.2971698,0.2971698,0.28773585,0.28773585,0.2861635,0.27044025,0.27672955,0.2672956,0.2672956,0.2783019,0.2625786,0.2688679,0.28773585,0.2845912,0.29245284,0.2798742,0.2861635,0.2798742,0.2720126,0.29874215,0.2672956,0.2783019,0.2672956,0.2798742,0.2610063,0.28301886,0.2720126,0.28144655,0.2720126,0.2798742,0.28773585,0.26572326,0.2845912,0.28773585,0.2625786,0.2672956,0.27515724,0.2735849,0.2610063,0.27515724,0.28144655,0.2845912,0.29245284,0.2861635,0.2845912,0.28144655,0.2861635,0.27515724,0.28773585,0.2783019,0.2688679,0.27672955,0.2720126,0.2893082,0.2798742,0.28301886,0.2861635,0.2735849,0.2720126,0.2861635,0.27044025,0.25943395,0.27515724,0.2845912,0.2783019,0.27672955,0.2861635,0.2845912,0.2893082,0.27672955,0.28144655,0.2908805,0.2798742,0.26415095,0.28144655,0.26415095,0.28773585,0.2955975,0.29402515,0.2688679,0.2861635,0.2783019,0.2893082,0.2798742,0.28144655,0.28144655,0.2955975,0.2783019,0.2861635,0.29874215,0.2798742,0.2908805,0.28301886,0.2893082,0.2908805,0.2845912,0.2861635,0.2798742,0.2893082,0.28301886,0.28144655,0.2908805,0.2625786,0.28144655,0.2861635,0.2798742,0.2783019,0.28773585,0.29402515,0.29245284,0.2861635,0.29245284,0.2845912,0.2861635,0.2893082,0.27044025,0.2672956,0.28773585,0.2845912,0.27044025,0.27515724,0.2783019,0.28144655,0.28144655,0.2720126,0.2783019,0.28773585,0.2720126
4,[64],0.5,0.001,64,0.2955975,0.17610063,0.19654088,0.20125785,0.254717,0.2437107,0.23742138,0.22955975,0.23584905,0.24842767,0.2264151,0.24842767,0.254717,0.24528302,0.23584905,0.2389937,0.24842767,0.2437107,0.2437107,0.25943395,0.24842767,0.2389937,0.25786164,0.24056605,0.2610063,0.2610063,0.24685535,0.25157234,0.27672955,0.27672955,0.25786164,0.2672956,0.28144655,0.2610063,0.2562893,0.254717,0.2720126,0.25,0.28144655,0.2610063,0.25786164,0.2845912,0.26415095,0.2625786,0.2688679,0.27672955,0.2625786,0.2562893,0.2672956,0.2672956,0.27515724,0.2688679,0.27044025,0.2861635,0.27515724,0.2908805,0.2625786,0.2672956,0.2672956,0.254717,0.2735849,0.2735849,0.2908805,0.2625786,0.28773585,0.2893082,0.27044025,0.2735849,0.2625786,0.2845912,0.28301886,0.27044025,0.27515724,0.2893082,0.27515724,0.2720126,0.2720126,0.27515724,0.2798742,0.2720126,0.2783019,0.2735849,0.27515724,0.25943395,0.2783019,0.2861635,0.2861635,0.2908805,0.28301886,0.27515724,0.28301886,0.2783019,0.2688679,0.2955975,0.2735849,0.28301886,0.28773585,0.27515724,0.2783019,0.26415095,0.27672955,0.2672956,0.26572326,0.2735849,0.27515724,0.2783019,0.27044025,0.2845912,0.26415095,0.2893082,0.28144655,0.27672955,0.28773585,0.2735849,0.2625786,0.27515724,0.2720126,0.2783019,0.2720126,0.27515724,0.2845912,0.28144655,0.2688679,0.2783019,0.26415095,0.2720126,0.2783019,0.28301886,0.2720126,0.2798742,0.28773585,0.29245284,0.27515724,0.2861635,0.2625786,0.27515724,0.26572326,0.2720126,0.2625786,0.2845912,0.27672955,0.28773585,0.27672955,0.28144655,0.2798742,0.2861635,0.2908805,0.2861635,0.2861635,0.2893082,0.2720126,0.28301886,0.2861635,0.2861635,0.28773585,0.2735849,0.27044025,0.26572326,0.2845912,0.2861635,0.2783019,0.29402515,0.27672955,0.2783019,0.28773585,0.28144655,0.2798742,0.28144655,0.27044025,0.2688679,0.2798742,0.2893082,0.2798742,0.27672955,0.2893082,0.27515724,0.2845912,0.27515724,0.28144655,0.2783019,0.2861635,0.29245284,0.29245284,0.2735849,0.28301886,0.27515724,0.2893082,0.2672956,0.28144655,0.28144655,0.2908805,0.2783019,0.28773585,0.2783019,0.2688679,0.2783019,0.28773585,0.2720126,0.2861635,0.2861635,0.28144655
5,[64],0.5,0.001,128,0.2845912,0.17295597,0.18238993,0.19968553,0.2091195,0.22955975,0.21226415,0.21855345,0.22798742,0.22798742,0.22798742,0.23427673,0.23584905,0.24056605,0.24056605,0.24842767,0.23742138,0.2437107,0.23113208,0.25314465,0.22798742,0.25157234,0.254717,0.24056605,0.24528302,0.24685535,0.24842767,0.26572326,0.2562893,0.25786164,0.25943395,0.25314465,0.2688679,0.2625786,0.2562893,0.2625786,0.2610063,0.24842767,0.28144655,0.26572326,0.2562893,0.25943395,0.2720126,0.2688679,0.26415095,0.27515724,0.254717,0.2798742,0.2688679,0.2562893,0.2672956,0.2672956,0.25786164,0.254717,0.2845912,0.25786164,0.2735849,0.2562893,0.2720126,0.2625786,0.2625786,0.27672955,0.254717,0.25786164,0.27044025,0.25943395,0.27515724,0.2625786,0.25157234,0.2672956,0.27044025,0.2672956,0.27515724,0.26415095,0.28301886,0.25786164,0.27515724,0.25314465,0.2735849,0.2735849,0.2672956,0.26415095,0.26572326,0.2735849,0.2625786,0.2735849,0.2610063,0.27044025,0.26415095,0.2688679,0.2720126,0.2720126,0.27044025,0.25,0.2720126,0.2625786,0.27515724,0.2783019,0.2720126,0.2562893,0.27515724,0.27672955,0.24685535,0.254717,0.2798742,0.2735849,0.2562893,0.26415095,0.25,0.2672956,0.26572326,0.27044025,0.2610063,0.2720126,0.2672956,0.26572326,0.2783019,0.28301886,0.2672956,0.26415095,0.2625786,0.2688679,0.27672955,0.2688679,0.25786164,0.2562893,0.27515724,0.2688679,0.2625786,0.2783019,0.2720126,0.27515724,0.2720126,0.2735849,0.25943395,0.25943395,0.25314465,0.27515724,0.2720126,0.27044025,0.27672955,0.26572326,0.27672955,0.25943395,0.2672956,0.254717,0.25943395,0.2625786,0.27515724,0.2610063,0.2735849,0.26572326,0.2610063,0.2783019,0.2688679,0.2610063,0.27515724,0.2625786,0.2688679,0.26572326,0.2672956,0.27044025,0.2783019,0.25314465,0.28301886,0.2625786,0.2672956,0.2672956,0.26572326,0.2625786,0.27044025,0.2610063,0.2845912,0.2720126,0.2610063,0.2688679,0.27044025,0.2625786,0.27044025,0.2672956,0.2798742,0.2720126,0.26572326,0.24842767,0.2783019,0.2720126,0.26415095,0.28301886,0.2625786,0.26572326,0.2783019,0.25943395,0.2783019,0.2735849,0.2672956,0.27515724,0.2735849,0.26572326,0.27515724,0.2735849,0.27044025
6,[128],0.2,0.001,32,0.33490565,0.20440252,0.19496855,0.21226415,0.23113208,0.25786164,0.23584905,0.23742138,0.23427673,0.25943395,0.2437107,0.24213837,0.22955975,0.26572326,0.25314465,0.25157234,0.22327045,0.2610063,0.2562893,0.2389937,0.2720126,0.27672955,0.2783019,0.2562893,0.2908805,0.27044025,0.24842767,0.27044025,0.25,0.26572326,0.2672956,0.2798742,0.25314465,0.2672956,0.27515724,0.2437107,0.2625786,0.2672956,0.2562893,0.27044025,0.2672956,0.3018868,0.2845912,0.24842767,0.2625786,0.27672955,0.27672955,0.27515724,0.25314465,0.27672955,0.2783019,0.26415095,0.2672956,0.27044025,0.2783019,0.26415095,0.28301886,0.2720126,0.254717,0.2798742,0.2798742,0.2845912,0.27672955,0.2798742,0.27672955,0.2688679,0.27515724,0.2798742,0.2798742,0.254717,0.26572326,0.27044025,0.27515724,0.2908805,0.2893082,0.28301886,0.2625786,0.2893082,0.2861635,0.2735849,0.2735849,0.2798742,0.2562893,0.2610063,0.28301886,0.2735849,0.2845912,0.2893082,0.2720126,0.2735849,0.2798742,0.2798742,0.2893082,0.2908805,0.2798742,0.2908805,0.2625786,0.3018868,0.30031446,0.28301886,0.2783019,0.29245284,0.27672955,0.2735849,0.27515724,0.2798742,0.3018868,0.3034591,0.2688679,0.29402515,0.28301886,0.28773585,0.28144655,0.2908805,0.25157234,0.32232705,0.3018868,0.2971698,0.28144655,0.27515724,0.2893082,0.2735849,0.27515724,0.2893082,0.27672955,0.2845912,0.2845912,0.2798742,0.2688679,0.2893082,0.2783019,0.3034591,0.30031446,0.2893082,0.2893082,0.2720126,0.2783019,0.2735849,0.2625786,0.3018868,0.2845912,0.2955975,0.2893082,0.2798742,0.30660376,0.2625786,0.28773585,0.30031446,0.30031446,0.29245284,0.2893082,0.28773585,0.28773585,0.3018868,0.2893082,0.28773585,0.31761006,0.30031446,0.2971698,0.3018868,0.2971698,0.29402515,0.29874215,0.31132075,0.3018868,0.25943395,0.3144654,0.3018868,0.2908805,0.30503145,0.28773585,0.30503145,0.27672955,0.26572326,0.31761006,0.2971698,0.3081761,0.32232705,0.3144654,0.30031446,0.30503145,0.30660376,0.3081761,0.3081761,0.28144655,0.30503145,0.3144654,0.30660376,0.28144655,0.3081761,0.3207547,0.28144655,0.30031446,0.29245284,0.29874215,0.3034591,0.30660376,0.30031446,0.28144655,0.33490565,0.30660376
7,[128],0.2,0.001,64,0.3144654,0.1981132,0.2028302,0.19496855,0.23427673,0.24213837,0.21855345,0.22798742,0.22798742,0.22012578,0.21855345,0.2264151,0.2389937,0.22484277,0.24528302,0.25314465,0.24213837,0.26415095,0.23742138,0.2562893,0.24056605,0.25157234,0.25157234,0.2783019,0.2783019,0.25943395,0.2688679,0.26572326,0.2845912,0.26415095,0.25786164,0.254717,0.25157234,0.25786164,0.25314465,0.2688679,0.254717,0.2798742,0.2437107,0.26415095,0.25314465,0.28773585,0.2610063,0.27044025,0.2798742,0.254717,0.2610063,0.27672955,0.25,0.2783019,0.2688679,0.27044025,0.2735849,0.2625786,0.2735849,0.2688679,0.2672956,0.27515724,0.25943395,0.25,0.2562893,0.2845912,0.2845912,0.29245284,0.2845912,0.2625786,0.2798742,0.28301886,0.26415095,0.27672955,0.25157234,0.2610063,0.28144655,0.27672955,0.27044025,0.25786164,0.28144655,0.30031446,0.2625786,0.2688679,0.2688679,0.25314465,0.27672955,0.2720126,0.2688679,0.2798742,0.25943395,0.2735849,0.27044025,0.28144655,0.2783019,0.26415095,0.2845912,0.2720126,0.2783019,0.27672955,0.28301886,0.2735849,0.2688679,0.2672956,0.2625786,0.2783019,0.2720126,0.28144655,0.27044025,0.28301886,0.2845912,0.25,0.27044025,0.25786164,0.2893082,0.2908805,0.26572326,0.28773585,0.2783019,0.2688679,0.2798742,0.28773585,0.2688679,0.28301886,0.2798742,0.2893082,0.28144655,0.27044025,0.2861635,0.2893082,0.28773585,0.27044025,0.2845912,0.2798742,0.2720126,0.27515724,0.2861635,0.28144655,0.3018868,0.2735849,0.2735849,0.2688679,0.27515724,0.28773585,0.28773585,0.2861635,0.2861635,0.2845912,0.29402515,0.2783019,0.30031446,0.28144655,0.27672955,0.29245284,0.2861635,0.2798742,0.30660376,0.2893082,0.29245284,0.2845912,0.2971698,0.28301886,0.28773585,0.28773585,0.28144655,0.2861635,0.27672955,0.2971698,0.2893082,0.28301886,0.2735849,0.27515724,0.27672955,0.3144654,0.3034591,0.29874215,0.2861635,0.30503145,0.30031446,0.26415095,0.2861635,0.28301886,0.28773585,0.2955975,0.28301886,0.28301886,0.2955975,0.28144655,0.2893082,0.27515724,0.28301886,0.2908805,0.3081761,0.29402515,0.2798742,0.2861635,0.2955975,0.2845912,0.2893082,0.2798742,0.2955975,0.2971698,0.2908805,0.29245284,0.30503145
8,[128],0.2,0.001,128,0.30031446,0.16666667,0.18867925,0.19339623,0.20125785,0.22012578,0.1981132,0.21383648,0.22955975,0.21855345,0.21069182,0.22327045,0.22012578,0.22798742,0.22327045,0.23113208,0.21226415,0.23742138,0.21698113,0.22798742,0.22484277,0.22169812,0.23742138,0.23113208,0.22012578,0.21855345,0.24056605,0.24528302,0.24213837,0.24056605,0.25314465,0.2625786,0.24056605,0.2389937,0.2437107,0.23584905,0.25,0.26415095,0.26572326,0.27044025,0.28144655,0.26572326,0.25786164,0.2610063,0.25,0.2610063,0.24685535,0.26572326,0.2610063,0.2610063,0.2562893,0.2893082,0.2625786,0.25,0.2735849,0.2688679,0.26572326,0.2735849,0.2688679,0.2783019,0.2625786,0.2688679,0.2672956,0.2672956,0.26572326,0.2893082,0.27672955,0.2625786,0.2861635,0.24528302,0.2720126,0.27515724,0.2845912,0.28301886,0.24213837,0.2720126,0.25786164,0.2720126,0.26572326,0.2672956,0.2625786,0.25943395,0.2798742,0.26415095,0.28144655,0.28301886,0.2783019,0.2783019,0.2735849,0.2625786,0.28773585,0.2688679,0.2610063,0.2861635,0.27044025,0.2735849,0.2672956,0.27515724,0.26415095,0.2783019,0.26572326,0.27044025,0.27672955,0.28144655,0.24842767,0.2845912,0.27672955,0.26572326,0.25314465,0.26572326,0.27672955,0.27044025,0.2672956,0.26572326,0.24685535,0.28773585,0.2720126,0.2672956,0.27044025,0.2893082,0.27672955,0.27044025,0.2783019,0.27672955,0.27515724,0.2720126,0.27515724,0.30031446,0.2625786,0.2845912,0.2783019,0.27672955,0.2798742,0.2845912,0.29245284,0.28773585,0.27515724,0.27044025,0.27515724,0.2798742,0.27672955,0.2688679,0.2720126,0.28773585,0.2735849,0.27672955,0.2861635,0.2672956,0.2908805,0.26572326,0.28301886,0.26572326,0.29245284,0.2798742,0.2798742,0.29402515,0.28301886,0.27515724,0.2893082,0.2783019,0.28773585,0.2783019,0.2971698,0.2783019,0.2908805,0.2845912,0.2861635,0.2720126,0.27515724,0.2893082,0.27672955,0.2845912,0.2783019,0.27515724,0.2845912,0.28144655,0.2783019,0.2688679,0.2955975,0.28144655,0.2893082,0.28301886,0.2845912,0.2798742,0.27672955,0.25157234,0.2798742,0.2798742,0.28144655,0.29402515,0.27672955,0.2861635,0.2861635,0.27515724,0.2893082,0.28144655,0.2955975,0.2798742,0.26572326,0.2861635,0.2783019
